tf_minutes,require_bias,tp_r,sl_atr_buffer,trail_atr,spread_gate,min_score,n,wr,pf,exp,total_r
15,True,2.0,0.5,1.5,0.45,0,960,41.14583333333333,0.6139724129406958,-0.23889201633926546,-229.33633568569485
15,True,2.0,0.5,1.5,0.45,60,948,41.139240506329116,0.6169320390611486,-0.23686991660736817,-224.55268094378502
15,True,2.0,0.5,1.5,0.45,70,804,42.039800995024876,0.6413396345763589,-0.21757029729307414,-174.9265190236316
15,True,2.0,1.0,0.0,0.2,0,400,35.75,0.8486673321952167,-0.09866272369268475,-39.4650894770739
15,True,2.0,1.0,0.0,0.2,60,398,35.92964824120603,0.8558103022868697,-0.09368963301353105,-37.288473939385355
15,True,2.0,1.0,0.0,0.2,70,364,35.43956043956044,0.8559238669488624,-0.09447088850762159,-34.387403416774255
15,True,2.0,1.0,0.0,0.45,0,948,32.70042194092827,0.756559568238405,-0.17090610536499448,-162.01898788601477
15,True,2.0,1.0,0.0,0.45,60,934,32.97644539614561,0.7662326740314099,-0.16322249765510666,-152.44981280986963
15,True,2.0,1.0,0.0,0.45,70,778,32.904884318766065,0.767387894142302,-0.1616331606822518,-125.75059901079192
15,True,2.0,1.0,1.5,0.2,0,401,46.13466334164589,0.7398809208325932,-0.14394011233167078,-57.71998504499998
15,True,2.0,1.0,1.5,0.2,60,399,46.365914786967416,0.7472103576671264,-0.1392064398679485,-55.54336950731145
15,True,2.0,1.0,1.5,0.2,70,365,46.02739726027397,0.7637628809109152,-0.13095782121737307,-47.799604744341174
15,True,2.0,1.0,1.5,0.45,0,951,43.84858044164038,0.6467008411894306,-0.21026298552457823,-199.9600992338739
15,True,2.0,1.0,1.5,0.45,60,937,44.07684098185699,0.6534491547919329,-0.20520710842010945,-192.27906058964254
15,True,2.0,1.0,1.5,0.45,70,781,44.81434058898848,0.6770424439577665,-0.18794335815959093,-146.78376272264052
15,True,3.0,0.5,0.0,0.2,0,400,28.499999999999996,0.8018225292478915,-0.14991383604248762,-59.96553441699505
15,True,3.0,0.5,0.0,0.2,60,398,28.643216080402013,0.8077691756318818,-0.14507025070093787,-57.73795977897328
15,True,3.0,0.5,0.0,0.2,70,361,27.977839335180054,0.810592883705382,-0.14430382248325163,-52.09367991645384
15,True,3.0,0.5,0.0,0.45,0,956,25.732217573221757,0.7269835670618823,-0.2205198625491513,-210.81698859698864
15,True,3.0,0.5,0.0,0.45,60,939,25.98509052183174,0.7357950414358199,-0.21243084711356688,-199.4725654396393
15,True,3.0,0.5,0.0,0.45,70,772,26.165803108808287,0.7476214702063803,-0.20109419996205247,-155.2447223707045
15,True,3.0,0.5,1.5,0.2,0,402,42.53731343283582,0.640122646934228,-0.20470260422514272,-82.29044689850737
15,True,3.0,0.5,1.5,0.2,60,400,42.75,0.6464199136536248,-0.200157180651214,-80.06287226048559
15,True,3.0,0.5,1.5,0.2,70,362,42.26519337016575,0.6700742434809089,-0.1881974413240416,-68.12747375930306
15,True,3.0,0.5,1.5,0.45,0,960,41.14583333333333,0.5867480908750605,-0.25573970652968187,-245.51011826849458
15,True,3.0,0.5,1.5,0.45,60,943,41.251325556733825,0.5894474476893329,-0.2536163000480731,-239.16017094533294
15,True,3.0,0.5,1.5,0.45,70,775,42.193548387096776,0.628017684380201,-0.22445603028080668,-173.95342346762519
15,True,3.0,1.0,0.0,0.2,0,400,33.0,0.829776334561505,-0.11593096767234654,-46.372387068938615
15,True,3.0,1.0,0.0,0.2,60,397,33.249370277078086,0.8397209189461404,-0.10868057397627759,-43.1461878685822
15,True,3.0,1.0,0.0,0.2,70,356,33.42696629213483,0.8737493083013578,-0.08538205060965467,-30.396010017037064
15,True,3.0,1.0,0.0,0.45,0,948,29.324894514767934,0.7379898859596448,-0.19250443077130064,-182.49420037119302
15,True,3.0,1.0,0.0,0.45,60,926,29.589632829373652,0.7425740644258073,-0.18806751463294127,-174.1505185501036
15,True,3.0,1.0,0.0,0.45,70,742,30.05390835579515,0.7636604592717023,-0.1706703144836475,-126.63737334686644
15,True,3.0,1.0,1.5,0.2,0,401,46.13466334164589,0.7253840210801841,-0.15196215125900295,-60.93682265486019
