pair,dir,entry_time,exit_time,r_multiple,exit_reason
XAUUSD,SHORT,2026-07-06 03:30:00+00:00,2026-07-06 04:30:00+00:00,0.5,target
GBPCAD,LONG,2026-07-06 08:45:00+00:00,2026-07-06 10:15:00+00:00,-1.0,stop
CADJPY,SHORT,2026-07-07 06:30:00+00:00,2026-07-07 07:15:00+00:00,0.4,target
GBPCAD,SHORT,2026-07-07 06:45:00+00:00,2026-07-07 07:00:00+00:00,0.5,target
EURUSD,SHORT,2026-07-07 08:30:00+00:00,2026-07-07 08:45:00+00:00,0.5,target
XAUUSD,LONG,2026-07-07 14:15:00+00:00,2026-07-07 15:45:00+00:00,-1.0,stop
NZDUSD,SHORT,2026-07-07 20:15:00+00:00,2026-07-07 21:30:00+00:00,0.5,target
XAUUSD,SHORT,2026-07-08 03:30:00+00:00,2026-07-08 04:15:00+00:00,0.5,target
NZDUSD,LONG,2026-07-08 09:30:00+00:00,2026-07-08 15:45:00+00:00,-1.0,stop
NZDUSD,LONG,2026-07-09 01:45:00+00:00,2026-07-09 05:00:00+00:00,0.5,target
XAUUSD,LONG,2026-07-09 14:45:00+00:00,2026-07-09 16:30:00+00:00,0.5,target
GBPCAD,LONG,2026-07-10 04:45:00+00:00,2026-07-10 05:15:00+00:00,0.5,target
GBPCAD,SHORT,2026-07-10 14:45:00+00:00,2026-07-10 16:00:00+00:00,0.5,target
NZDUSD,LONG,2026-07-13 02:15:00+00:00,2026-07-13 03:00:00+00:00,-1.0,stop
CADJPY,LONG,2026-07-13 03:15:00+00:00,2026-07-13 03:30:00+00:00,0.4,target
GBPCAD,SHORT,2026-07-13 20:45:00+00:00,2026-07-13 21:00:00+00:00,-1.0,stop(ambiguous)
XAUUSD,LONG,2026-07-14 03:15:00+00:00,2026-07-14 05:30:00+00:00,0.5,target
CADJPY,LONG,2026-07-14 12:00:00+00:00,2026-07-14 12:15:00+00:00,0.4,target
NZDUSD,LONG,2026-07-14 15:00:00+00:00,2026-07-14 15:45:00+00:00,-1.0,stop
CADJPY,LONG,2026-07-14 15:30:00+00:00,2026-07-14 16:30:00+00:00,0.4,target
GBPUSD,LONG,2026-07-15 00:15:00+00:00,2026-07-15 00:45:00+00:00,0.5,target
GBPUSD,LONG,2026-07-15 08:15:00+00:00,2026-07-15 08:45:00+00:00,-1.0,stop
EURUSD,LONG,2026-07-15 13:30:00+00:00,2026-07-15 13:45:00+00:00,0.5,target
GBPUSD,LONG,2026-07-15 13:30:00+00:00,2026-07-15 13:45:00+00:00,0.5,target
NZDUSD,LONG,2026-07-15 19:00:00+00:00,2026-07-16 00:45:00+00:00,-1.0,stop
GBPCAD,SHORT,2026-07-16 08:45:00+00:00,2026-07-16 09:15:00+00:00,0.5,target
EURUSD,SHORT,2026-07-16 13:30:00+00:00,2026-07-16 14:00:00+00:00,0.5,target
GBPUSD,SHORT,2026-07-16 15:15:00+00:00,2026-07-16 16:15:00+00:00,0.5,target
XAUUSD,SHORT,2026-07-16 15:45:00+00:00,2026-07-16 16:00:00+00:00,0.5,target
NZDUSD,SHORT,2026-07-16 19:00:00+00:00,2026-07-16 21:00:00+00:00,0.5,target
EURUSD,SHORT,2026-07-16 20:45:00+00:00,2026-07-16 21:00:00+00:00,0.5,target
GBPCAD,SHORT,2026-07-17 02:15:00+00:00,2026-07-17 02:30:00+00:00,0.5,target
GBPUSD,SHORT,2026-07-17 02:15:00+00:00,2026-07-17 02:30:00+00:00,0.5,target
GBPUSD,LONG,2026-07-17 06:45:00+00:00,2026-07-17 07:00:00+00:00,0.5,target
CADJPY,LONG,2026-07-17 13:45:00+00:00,2026-07-17 14:45:00+00:00,0.4,target
