tp_r,tp1_frac,breakeven_after_tp1,sl_atr_buffer,retr_frac,min_score,n,wr,pf,exp
2.0,0.0,False,0.5,0.62,70,117,37.60683760683761,1.0138744917261568,0.009188035551501227
2.0,0.0,False,0.5,0.62,75,73,32.87671232876712,0.788850110528749,-0.1528153897992019
2.0,0.0,False,0.8,0.5,0,232,36.206896551724135,0.8389321177808375,-0.10551025258508252
2.0,0.0,False,0.8,0.5,60,224,37.05357142857143,0.8701189918732828,-0.08366792899966533
2.0,0.0,False,0.8,0.5,65,204,38.23529411764706,0.9426364317260995,-0.03587257121323553
2.0,0.0,False,0.8,0.5,70,163,41.717791411042946,1.1082673510517294,0.06200472164662205
2.0,0.0,False,0.8,0.5,75,92,35.869565217391305,0.8911743408540749,-0.06724352181558797
2.0,0.0,False,0.8,0.62,0,186,33.33333333333333,0.7581082651917516,-0.1710308216233826
2.0,0.0,False,0.8,0.62,60,179,34.07821229050279,0.7832255834260151,-0.15112913511648307
2.0,0.0,False,0.8,0.62,65,163,34.96932515337423,0.8180673870598878,-0.12409202647352335
2.0,0.0,False,0.8,0.62,70,124,37.903225806451616,0.9454461613608309,-0.03463569445204926
2.0,0.0,False,0.8,0.62,75,77,36.36363636363637,0.9099110288986347,-0.05716787254808354
2.5,0.0,False,0.5,0.5,0,234,33.76068376068376,0.8711487512436356,-0.0904514396289753
2.5,0.0,False,0.5,0.5,60,227,34.36123348017621,0.8927170427686613,-0.07446915372525839
2.5,0.0,False,0.5,0.5,65,208,35.57692307692308,0.971655632228434,-0.019156641773996896
2.5,0.0,False,0.5,0.5,70,168,38.095238095238095,1.0892362188010083,0.05677277408456368
2.5,0.0,False,0.5,0.5,75,98,34.69387755102041,1.0023906995023246,0.001592064562447562
2.5,0.0,False,0.5,0.62,0,186,29.56989247311828,0.7648139046817464,-0.1792518815580936
2.5,0.0,False,0.5,0.62,60,179,30.16759776536313,0.7853605715787573,-0.1617982989982249
2.5,0.0,False,0.5,0.62,65,165,30.909090909090907,0.8184009259134889,-0.1344688892288332
2.5,0.0,False,0.5,0.62,70,127,33.85826771653544,0.9805431482777344,-0.013499337612254605
2.5,0.0,False,0.5,0.62,75,82,31.70731707317073,0.9276414822866139,-0.051774219470514214
