retr_frac,sl_atr_buffer,tp_r,tp1_frac,breakeven_after_tp1,entry_expiry,min_score,n,wr,pf,exp,total_r
0.35,0.8,2.0,0.5,True,10,65,220,48.63636363636364,0.796013951292756,-0.10326563693878774,-22.718440126533302
0.35,0.8,2.0,0.5,True,10,70,158,51.89873417721519,0.9569190817109826,-0.019856930383205074,-3.1373950005464017
0.35,0.8,2.0,0.5,True,10,75,86,40.69767441860465,0.6087403036202941,-0.22254181971173462,-19.13859649520918
0.35,0.8,2.0,0.5,False,6,0,252,40.476190476190474,0.7724493708096323,-0.11817320083060885,-29.77964660931343
0.35,0.8,2.0,0.5,False,6,55,248,41.12903225806452,0.7926632103544304,-0.1066221682066433,-26.442297715247538
0.35,0.8,2.0,0.5,False,6,60,237,42.616033755274266,0.8390831747306182,-0.08123379374842256,-19.252409118376146
0.35,0.8,2.0,0.5,False,6,65,201,42.78606965174129,0.8694215539025103,-0.06428316718155369,-12.920916603492293
0.35,0.8,2.0,0.5,False,6,70,142,45.774647887323944,1.0821155491245256,0.035480619659381804,5.0382479916322165
0.35,0.8,2.0,0.5,False,6,75,74,36.486486486486484,0.7205638868508395,-0.14918470752390006,-11.039668356768605
0.35,0.8,2.0,0.5,False,10,0,270,39.25925925925926,0.7399079485737612,-0.13800434933535194,-37.261174320545024
0.35,0.8,2.0,0.5,False,10,55,265,40.0,0.7580278284594055,-0.1276854905069932,-33.8366549843532
0.35,0.8,2.0,0.5,False,10,60,254,41.338582677165356,0.7980477668231963,-0.10490852908457406,-26.64676638748181
0.35,0.8,2.0,0.5,False,10,65,218,41.284403669724774,0.8137098037706739,-0.09507232177165463,-20.72576614622071
0.35,0.8,2.0,0.5,False,10,70,157,43.31210191082803,0.9563140790697846,-0.02020031954688039,-3.171450168860221
0.35,0.8,2.0,0.5,False,10,75,85,34.11764705882353,0.622540240808375,-0.21399976827956502,-18.189980303763026
0.35,0.8,2.5,0.5,False,6,0,267,39.325842696629216,0.748669759278811,-0.13489426981758262,-36.01677004129456
0.35,0.8,2.5,0.5,False,6,55,264,39.77272727272727,0.7605723324773329,-0.12793229531304232,-33.77412596264317
